lad_name,gt_id,gt_page_id,gt_globe,gt_primary,gt_lat,gt_lon,gt_dim,gt_type,gt_name,gt_country,gt_region,page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
Kensington and Chelsea,648662067,381696,earth,1,51.4874,-0.1682,4000,adm3rd,NULL,GB,KEC,381696,0,Metropolitan_Borough_of_Chelsea,NA,0,0,0.492916168409,20201219001707,20201219001710,995056524,9821,wikitext,NULL
Kensington and Chelsea,648662077,381700,earth,1,51.5021,-0.1951,6000,adm3rd,NULL,GB,KEC,381700,0,Metropolitan_Borough_of_Kensington,NA,0,0,0.734504083048,20201224183043,20201224183143,995088653,8532,wikitext,NULL
Kensington and Chelsea,648671390,395984,earth,1,51.51425,-0.20388889,1000,landmark,NULL,GB,NULL,395984,0,Portobello_Road,NA,0,0,0.501779406099,20201216212244,20201215205228,992339671,15214,wikitext,NULL
Kensington and Chelsea,648679046,61967953,earth,1,51.5054,-0.18601,1000,landmark,NULL,GB,NULL,61967953,0,"Statue_of_Queen_Victoria,_Kensington_Palace",NA,0,0,0.886995222201,20201230181558,20201229105155,960954565,4139,wikitext,NULL
Kensington and Chelsea,648680644,413529,earth,1,51.495,-0.1832,1000,landmark,NULL,GB,NULL,413529,0,Cromwell_Road,NA,0,0,0.986596783617,20201216212247,20201215200108,970388216,5292,wikitext,NULL
Kensington and Chelsea,648681393,92595,earth,0,51.51388889,-0.21722222,1000,railwaystation,05 - Latimer Road tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681394,92595,earth,0,51.51722222,-0.21055556,1000,railwaystation,06 - Ladbroke Grove tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681395,92595,earth,0,51.52111111,-0.20111111,1000,railwaystation,07 - Westbourne Park tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681418,92595,earth,0,51.4925,-0.15666667,1000,railwaystation,30 - Sloane Square tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681419,92595,earth,0,51.49416667,-0.17388889,1000,railwaystation,31 - South Kensington tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681420,92595,earth,0,51.49472222,-0.18305556,1000,railwaystation,32 - Gloucester Road tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681421,92595,earth,0,51.50083333,-0.1925,1000,railwaystation,33 - High Street Kensington tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681422,92595,earth,0,51.50888889,-0.19694444,1000,railwaystation,34 - Notting Hill Gate tube station,GB,NULL,92595,0,Circle_line_(London_Underground),NA,0,0,0.922649590226495,20210101005333,20210101005425,996963264,58408,wikitext,NULL
Kensington and Chelsea,648681430,92600,earth,0,51.51388889,-0.21722222,1000,railwaystation,05 - Latimer Road tube station,GB,NULL,92600,0,Hammersmith_&_City_line,NA,0,0,0.815556321121339,20210101005333,20210101011037,996702778,46091,wikitext,NULL
Kensington and Chelsea,648681431,92600,earth,0,51.51722222,-0.21055556,1000,railwaystation,06 - Ladbroke Grove tube station,GB,NULL,92600,0,Hammersmith_&_City_line,NA,0,0,0.815556321121339,20210101005333,20210101011037,996702778,46091,wikitext,NULL
Kensington and Chelsea,648681432,92600,earth,0,51.52111111,-0.20111111,1000,railwaystation,07 - Westbourne Park tube station,GB,NULL,92600,0,Hammersmith_&_City_line,NA,0,0,0.815556321121339,20210101005333,20210101011037,996702778,46091,wikitext,NULL
Kensington and Chelsea,648683714,417235,earth,1,51.48737,-0.168874,1000,NULL,NULL,GB,NULL,417235,0,King's_Road,NA,0,0,0.989301795135,20201226200911,20201226201326,996469087,9855,wikitext,NULL
Kensington and Chelsea,648685094,94148,earth,1,51.5,-0.19,10000,city,NULL,GB,KEC,94148,0,Royal_Borough_of_Kensington_and_Chelsea,NA,0,0,0.356962130737456,20210101005333,20210101010154,993781529,46422,wikitext,NULL
Kensington and Chelsea,648685409,1473404,earth,1,51.49667,-0.15844,1000,NULL,NULL,NULL,NULL,1473404,0,Sloane_Street,NA,0,0,0.919511383977,20210101005355,20210101014431,942448309,4668,wikitext,NULL
Kensington and Chelsea,648688114,422889,earth,1,51.50083333,-0.19388889,1000,landmark,NULL,GB,NULL,422889,0,Kensington_High_Street,NA,0,0,0.664658793092,20201226223237,20201226223623,996489838,11839,wikitext,NULL
